,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Asau,46.4333,26.4,27.52,96,96,2.17,overcast clouds
1,Zhangye,38.9342,100.4517,42.3,26,0,4.85,clear sky
2,Beringovskiy,63.05,179.3167,13.17,73,20,12.95,few clouds
3,Mogadishu,2.0371,45.3438,80.47,83,75,9.22,broken clouds
4,Yellowknife,62.456,-114.3525,-17.88,76,40,10.36,scattered clouds
5,Leningradskiy,69.3833,178.4167,-1.44,88,100,15.3,overcast clouds
6,Cape Town,-33.9258,18.4232,66.11,66,20,4.0,few clouds
7,Meulaboh,4.1363,96.1285,85.23,62,61,4.92,broken clouds
8,Coihaique,-45.5752,-72.0662,50.61,71,0,3.44,clear sky
9,Kasongo-Lunda,-6.4667,16.8167,69.93,98,100,0.96,light rain
10,Tolaga Bay,-38.3667,178.3,65.43,82,100,14.54,overcast clouds
11,Rikitea,-23.1203,-134.9692,76.17,76,73,12.41,broken clouds
12,Kapaa,22.0752,-159.319,68.47,77,61,3.0,broken clouds
13,Carnarvon,-24.8667,113.6333,80.67,65,0,12.66,clear sky
14,Hobart,-42.8794,147.3294,60.03,46,40,5.99,scattered clouds
15,Provideniya,64.3833,-173.3,19.62,88,90,16.24,light snow
16,Atuona,-9.8,-139.0333,78.67,73,4,18.52,clear sky
17,Severo-Kurilsk,50.6789,156.125,36.68,98,100,14.2,light rain
18,Srandakan,-7.9386,110.2506,81.97,77,77,13.47,broken clouds
19,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,1,4.61,clear sky
20,Bluff,-46.6,168.3333,63.36,83,64,4.25,broken clouds
21,Terra Rica,-22.7094,-52.6169,71.13,65,21,13.87,few clouds
22,Hermanus,-34.4187,19.2345,66.79,70,57,16.89,broken clouds
23,Ovria,38.1833,21.7167,55.63,75,100,6.53,overcast clouds
24,Hithadhoo,-0.6,73.0833,82.44,76,15,11.54,few clouds
25,Sicamous,50.8331,-118.9856,30.29,52,100,3.29,overcast clouds
26,Butaritari,3.0707,172.7902,83.08,74,95,13.87,light rain
27,Port Elizabeth,-33.918,25.5701,62.1,74,100,7.99,overcast clouds
28,Camacha,33.0833,-16.3333,61.56,67,75,14.97,broken clouds
29,Socorro,31.6546,-106.3033,61.88,34,0,3.76,clear sky
30,Waipawa,-41.4122,175.5153,63.23,74,100,6.98,overcast clouds
31,Vaini,-21.2,-175.2,82.56,89,20,10.36,light rain
32,Nanortalik,60.1432,-45.2371,36.82,87,100,34.81,moderate rain
33,Adrar,20.5022,-10.0711,62.87,22,100,9.46,overcast clouds
34,Dolni Benesov,49.921,18.1084,34.14,88,89,11.7,overcast clouds
35,Faanui,-16.4833,-151.75,81.54,68,24,18.39,few clouds
36,Ribeira Grande,38.5167,-28.7,65.26,83,100,11.54,overcast clouds
37,Salalah,17.0151,54.0924,81.28,36,0,6.15,clear sky
38,Dunedin,-45.8742,170.5036,54.81,66,100,3.0,light rain
